day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
1,11.5,247,0,-123.757736206055,392.892181396484,516.649917602539,183.71969585187,194.03355505785,118.775859467922,14107.7047923434,64.6505857290816,45378.764875412,47926.2880992889,102.193,216.103,250.22,337.374
1,12.0,247,0,-478.990783691406,426.305908203125,905.296691894531,19.3176937180492,320.59469738856,339.985491487781,115590.134422188,1759.96936513244,4771.47034835815,79186.8902549744,-374.572,190.02,342.891,384.442
1,12.5,247,0,162.893569946289,689.048950195312,526.155380249023,435.467791043795,435.467791043795,90.6323008093311,8214.21394999307,20.8126301584992,107560.544387817,107560.544387817,402.148,406.775,412.856,651.495
1,13.0,247,0,131.57048034668,432.085083007812,300.514602661133,407.81633687502,407.81633687502,31.4781415191341,990.873393498633,7.71870537613625,100730.63520813,100730.63520813,406.545,411.28,415.049,420.51
1,13.5,247,0,121.194076538086,434.881072998047,313.686996459961,407.077173024537,407.077173024537,32.4769119866001,1054.74981218537,7.97807249797389,100548.061737061,100548.061737061,405.563,410.331,414.688,420.053
1,14.0,247,0,356.192687988281,465.289245605469,109.096557617188,448.14929755207,448.14929755207,13.9526614341604,194.676761096306,3.11339580590087,110692.876495361,110692.876495361,448.573,451.946,454.19,456.819
6,11.5,247,0,203.53938293457,617.645446777344,414.106063842773,564.246365195826,564.246365195826,38.0164980954806,1445.25412744368,6.73757075639941,139368.852203369,139368.852203369,553.932,567.263,581.658,590.249
6,12.0,247,0,159.566818237305,698.998962402344,539.432144165039,635.182632693395,635.182632693395,56.8334580506143,3230.04195399094,8.94757745652156,156890.110275269,156890.110275269,626.811,641.843,654.6,668.698
6,12.5,247,0,165.662887573242,714.143371582031,548.480484008789,658.303147350728,658.303147350728,58.0220424083607,3366.55740523761,8.81387893128937,162600.87739563,162600.87739563,652.714,666.109,677.289,688.048
6,13.0,247,0,179.460998535156,716.967895507812,537.506896972656,666.929343528593,666.929343528593,57.9622799737554,3359.625899756,8.69091764160327,164731.547851562,164731.547851562,659.725,674.948,686.808,698.046
6,13.5,247,0,156.559020996094,727.957336425781,571.398315429688,669.810631385216,669.810631385216,60.7558998648494,3691.2793683876,9.07060847021819,165443.225952148,165443.225952148,663.949,677.575,690.602,700.702
6,14.0,247,0,363.000915527344,558.85595703125,195.855041503906,519.440609580592,519.440609580592,30.6162690127103,937.355928258646,5.8940846071759,128301.830566406,128301.830566406,508.474,528.501,539.029,547.372
11,11.5,247,0,120.844779968262,699.729125976562,578.884346008301,638.980132685982,638.980132685982,52.2790136754288,2733.09527087568,8.18163366921467,157828.092773438,157828.092773438,629.972,645.882,658.66,669.985
11,12.0,247,0,183.872131347656,677.875366210938,494.003234863281,626.262458029064,626.262458029064,51.7493681240494,2677.99710123838,8.26320777504562,154686.827133179,154686.827133179,620.875,632.306,642.317,656.119
11,12.5,247,0,201.626220703125,693.561584472656,491.935363769531,643.853097892483,643.853097892483,51.8460961695469,2688.01768802191,8.05247289160434,159031.715179443,159031.715179443,639.286,649.373,660.472,671.818
11,13.0,247,0,132.5634765625,779.244506835938,646.681030273438,706.944947709921,706.944947709921,67.3544039045974,4536.61572534365,9.52753168726722,174615.402084351,174615.402084351,700.052,712.783,729.565,739.511
11,13.5,247,0,161.886993408203,747.700744628906,585.813751220703,678.529987597755,678.529987597755,61.0752134544211,3730.1816985031,9.00110747804231,167596.906936646,167596.906936646,673.026,684.455,699.714,709.154
11,14.0,247,0,362.28125,590.505126953125,228.223876953125,557.812930582023,557.812930582023,30.5710130837155,934.586840964703,5.48051352122971,137779.79385376,137779.79385376,553.688,566.995,573.953,579.649
16,11.5,247,0,173.178649902344,675.347534179688,502.168884277344,617.112899038956,617.112899038956,45.2035881094936,2043.36437797275,7.32501106035705,152426.886062622,152426.886062622,610.189,623.983,634.521,644.261
16,12.0,247,0,207.465362548828,698.457092285156,490.991729736328,644.314139238736,644.314139238736,52.3959204526733,2745.33248008287,8.13204573076413,159145.592391968,159145.592391968,637.337,651.485,663.938,674.992
16,12.5,247,0,186.610488891602,705.765441894531,519.15495300293,658.396076588496,658.396076588496,53.843340416057,2899.10530715939,8.17795584309194,162623.830917358,162623.830917358,653.101,664.179,675.336,684.519
16,13.0,247,0,191.532135009766,732.362609863281,540.830474853516,674.972920962191,674.972920962191,56.0905310891831,3146.14767786661,8.3100416842241,166718.311477661,166718.311477661,669.211,679.688,694.041,704.948
16,13.5,247,0,202.256607055664,715.799438476562,513.542831420898,654.494071620679,654.494071620679,54.0098970470006,2917.0689790276,8.25215985734746,161660.035690308,161660.035690308,648.763,662.306,674.482,682.405
21,11.5,247,0,187.292434692383,677.48486328125,490.192428588867,617.98752387043,617.98752387043,43.6048143923965,1901.37983819535,7.05593765377355,152642.918395996,152642.918395996,609.534,623.37,633.783,643.87
21,12.0,247,0,201.758499145508,694.802124023438,493.04362487793,648.999305261774,648.999305261774,51.808061440802,2684.07523025391,7.9827606933886,160302.828399658,160302.828399658,643.92,654.411,665.087,676.217
21,12.5,247,0,221.182586669922,710.630187988281,489.447601318359,662.079740145911,662.079740145911,51.3099622469137,2632.71222577971,7.74981609248546,163533.69581604,163533.69581604,657.178,667.583,678.149,687.003
21,13.0,247,0,224.762405395508,733.722351074219,508.959945678711,679.825162262086,679.825162262086,52.5013149276457,2756.38806913184,7.72276724105799,167916.815078735,167916.815078735,676.495,685.938,693.89,704.979
21,13.5,247,0,183.239654541016,744.527709960938,561.288055419922,687.779294959929,687.779294959929,58.9101377521132,3470.40432997295,8.56526769325694,169881.485855103,169881.485855103,684.311,695.048,704.945,715.168
21,14.0,205,42,387.003784179688,749.4912109375,362.487426757812,524.301696181879,524.301696181879,52.6886357007668,2776.09233200812,10.0492972051132,107481.847717285,107481.847717285,501.013,511.597,520.304,556.634
