day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
01,11.5,676,0,260.913757324219,581.1025390625,320.188781738281,504.873839338856,504.873839338856,61.7949111273475,3818.61104123678,12.2396738179719,341294.715393066,341294.715393066,512.308,519.968,526.124,533.767
01,12.0,676,0,270.406555175781,603.5810546875,333.174499511719,523.906365388949,523.906365388949,71.5870490843903,5124.7055966109,13.6640922526765,354160.70300293,354160.70300293,538.601,549.696,556.077,562.527
01,12.5,676,0,274.425048828125,609.055969238281,334.630920410156,529.462377017772,529.462377017772,84.7524079559759,7182.97065433617,16.0072578590662,357916.566864014,357916.566864014,551.089,563.856,570.125,576.43
01,13.0,676,0,273.980010986328,607.605041503906,333.625030517578,513.737889758229,513.737889758229,87.4516074727303,7647.7836495645,17.0226119614977,347286.813476562,347286.813476562,423.642,560.842,568.268,573.534
01,13.5,676,0,268.984558105469,590.76416015625,321.779602050781,502.701491948416,502.701491948416,82.4151410315048,6792.25547124282,16.3944492609466,339826.208557129,339826.208557129,445.207,544.378,550.949,556.993
01,14.0,676,0,259.336547851562,556.044494628906,296.707946777344,488.238254434258,488.238254434258,69.3636861631495,4811.32095813989,14.2069339166231,330049.059997559,330049.059997559,502.531,512.209,517.873,523.935
01,14.5,676,0,244.341033935547,512.65869140625,268.317657470703,444.655811693541,444.655811693541,62.8709649237551,3952.75823044404,14.1392428189123,300587.328704834,300587.328704834,457.264,464.812,470.227,476.143
01,15.0,676,0,224.477233886719,454.571258544922,230.094024658203,389.53767555282,389.53767555282,51.2127371008152,2622.74444135722,13.147056193765,263327.468673706,263327.468673706,397.63,405.336,410.255,416.057
01,15.5,676,0,200.159713745117,378.790252685547,178.63053894043,326.166700577595,326.166700577595,35.6640722481999,1271.92604932482,10.9343081881271,220488.689590454,220488.689590454,329.345,335.978,340.527,346.106
02,11.5,676,0,261.279357910156,582.419921875,321.140563964844,506.64080250757,506.64080250757,61.4961709891627,3781.77904632833,12.1380217867952,342489.182495117,342489.182495117,513.643,521.235,527.39,535.031
02,12.0,676,0,270.767547607422,604.887939453125,334.120391845703,536.866268180531,536.866268180531,63.199559290228,3994.18429447905,11.7719370793056,362921.597290039,362921.597290039,543.944,551.675,557.775,564.6
02,12.5,676,0,274.784210205078,610.384887695312,335.600677490234,543.646177664311,543.646177664311,77.855481361923,6061.47597809674,14.3209838605721,367504.816101074,367504.816101074,557.664,566.234,572.288,578.609
02,13.0,676,0,274.339385986328,608.915710449219,334.576324462891,544.451759834967,544.451759834967,73.3772840302072,5384.22581164971,13.4772792455385,368049.389648438,368049.389648438,556.981,564.734,570.712,576.832
02,13.5,676,0,269.358001708984,592.056762695312,322.698760986328,528.47052354079,528.47052354079,69.6538249308807,4851.65532750178,13.1802667941052,357246.073913574,357246.073913574,539.595,547.095,553.151,559.231
02,14.0,676,0,259.714080810547,557.306640625,297.592559814453,495.47148836576,495.47148836576,65.5828371804899,4301.10853264265,13.2364502742237,334938.726135254,334938.726135254,506.388,513.724,519.34,525.433
02,14.5,676,0,244.712768554688,513.914672851562,269.201904296875,447.364124884972,447.364124884972,62.1180929879922,3858.65747646485,13.8853541293603,302418.148422241,302418.148422241,458.622,466.176,471.455,477.361
02,15.0,676,0,224.856781005859,455.757690429688,230.900909423828,390.832994788356,390.832994788356,51.1977122020664,2621.20573472562,13.0996392026193,264203.104476929,264203.104476929,398.748,406.419,411.327,416.925
02,15.5,676,0,200.553741455078,379.899688720703,179.345947265625,327.146212109447,327.146212109447,35.8241238600524,1283.36785034037,10.95049324553,221150.839385986,221150.839385986,330.35,337.013,341.553,347.138
03,11.5,676,0,261.673767089844,583.846618652344,322.1728515625,492.885385908319,492.885385908319,71.1605984450252,5063.83077105412,14.4375549528388,333190.520874023,333190.520874023,508.738,520.901,527.719,534.866
